,Year,Location Description,Topic Description,Response,Data Value,Low Confidence Limit,High Confidence Limit,Sample Size,Gender,Legislation Percentage
287,2016,Indiana,Cigarette Use (Adults),Some Days,28.4,24.5,32.3,998,Female,82.3
288,2018,Iowa,Cigarette Use (Adults),Every Day,73.2,70.4,76.0,1337,Overall,84.3
289,2018,Iowa,Cigarette Use (Adults),Every Day,71.6,67.7,75.5,697,Male,84.3
290,2018,Iowa,Cigarette Use (Adults),Every Day,74.9,70.9,78.9,640,Female,84.3
291,2018,Iowa,Cigarette Use (Adults),Some Days,26.8,24.0,29.6,1337,Overall,84.3
292,2018,Iowa,Cigarette Use (Adults),Some Days,28.4,24.5,32.3,697,Male,84.3
293,2018,Iowa,Cigarette Use (Adults),Some Days,25.1,21.1,29.1,640,Female,84.3
294,2017,Iowa,Cigarette Use (Adults),Every Day,73.7,70.7,76.7,1129,Overall,84.3
295,2017,Iowa,Cigarette Use (Adults),Every Day,74.0,69.9,78.1,582,Male,84.3
296,2017,Iowa,Cigarette Use (Adults),Every Day,73.3,68.9,77.7,547,Female,84.3
297,2017,Iowa,Cigarette Use (Adults),Some Days,26.3,23.3,29.3,1129,Overall,84.3
298,2017,Iowa,Cigarette Use (Adults),Some Days,26.0,21.9,30.1,582,Male,84.3
299,2017,Iowa,Cigarette Use (Adults),Some Days,26.7,22.3,31.1,547,Female,84.3
300,2016,Iowa,Cigarette Use (Adults),Every Day,75.1,71.4,78.8,951,Overall,84.3
301,2016,Iowa,Cigarette Use (Adults),Every Day,73.2,67.8,78.6,456,Male,84.3
302,2016,Iowa,Cigarette Use (Adults),Every Day,77.1,72.3,81.9,495,Female,84.3
303,2016,Iowa,Cigarette Use (Adults),Some Days,24.9,21.2,28.6,951,Overall,84.3
304,2016,Iowa,Cigarette Use (Adults),Some Days,26.8,21.4,32.2,456,Male,84.3
305,2016,Iowa,Cigarette Use (Adults),Some Days,22.9,18.1,27.7,495,Female,84.3
306,2018,Kansas,Cigarette Use (Adults),Every Day,73.8,70.9,76.7,1503,Overall,81.5
307,2018,Kansas,Cigarette Use (Adults),Every Day,75.1,71.0,79.2,745,Male,81.5
308,2018,Kansas,Cigarette Use (Adults),Every Day,72.4,68.2,76.6,758,Female,81.5
309,2018,Kansas,Cigarette Use (Adults),Some Days,26.2,23.3,29.1,1503,Overall,81.5
310,2018,Kansas,Cigarette Use (Adults),Some Days,24.9,20.8,29.0,745,Male,81.5
311,2018,Kansas,Cigarette Use (Adults),Some Days,27.6,23.4,31.8,758,Female,81.5
312,2017,Kansas,Cigarette Use (Adults),Every Day,70.2,68.1,72.3,3138,Overall,81.5
313,2017,Kansas,Cigarette Use (Adults),Every Day,71.1,68.3,73.9,1554,Male,81.5
314,2017,Kansas,Cigarette Use (Adults),Every Day,69.1,66.1,72.1,1584,Female,81.5
315,2017,Kansas,Cigarette Use (Adults),Some Days,29.8,27.7,31.9,3138,Overall,81.5
316,2017,Kansas,Cigarette Use (Adults),Some Days,28.9,26.1,31.7,1554,Male,81.5
317,2017,Kansas,Cigarette Use (Adults),Some Days,30.9,27.9,33.9,1584,Female,81.5
318,2016,Kansas,Cigarette Use (Adults),Every Day,72.8,70.2,75.4,1741,Overall,81.5
319,2016,Kansas,Cigarette Use (Adults),Every Day,72.1,68.2,76.0,849,Male,81.5
320,2016,Kansas,Cigarette Use (Adults),Every Day,73.7,70.2,77.2,892,Female,81.5
321,2016,Kansas,Cigarette Use (Adults),Some Days,27.2,24.6,29.8,1741,Overall,81.5
322,2016,Kansas,Cigarette Use (Adults),Some Days,27.9,24.0,31.8,849,Male,81.5
323,2016,Kansas,Cigarette Use (Adults),Some Days,26.3,22.8,29.8,892,Female,81.5
324,2018,Kentucky,Cigarette Use (Adults),Every Day,73.8,70.2,77.4,1644,Overall,79.0
325,2018,Kentucky,Cigarette Use (Adults),Every Day,71.1,65.7,76.5,720,Male,79.0
326,2018,Kentucky,Cigarette Use (Adults),Every Day,76.3,71.5,81.1,924,Female,79.0
327,2018,Kentucky,Cigarette Use (Adults),Some Days,26.2,22.6,29.8,1644,Overall,79.0
328,2018,Kentucky,Cigarette Use (Adults),Some Days,28.9,23.5,34.3,720,Male,79.0
329,2018,Kentucky,Cigarette Use (Adults),Some Days,23.7,18.9,28.5,924,Female,79.0
330,2017,Kentucky,Cigarette Use (Adults),Every Day,78.9,76.0,81.8,1748,Overall,79.0
331,2017,Kentucky,Cigarette Use (Adults),Every Day,75.8,71.5,80.1,831,Male,79.0
332,2017,Kentucky,Cigarette Use (Adults),Every Day,82.3,78.7,85.9,917,Female,79.0
333,2017,Kentucky,Cigarette Use (Adults),Some Days,21.1,18.2,24.0,1748,Overall,79.0
334,2017,Kentucky,Cigarette Use (Adults),Some Days,24.2,19.9,28.5,831,Male,79.0
335,2017,Kentucky,Cigarette Use (Adults),Some Days,17.7,14.1,21.3,917,Female,79.0
336,2016,Kentucky,Cigarette Use (Adults),Every Day,76.5,73.6,79.4,2019,Overall,79.0
337,2016,Kentucky,Cigarette Use (Adults),Every Day,75.7,71.7,79.7,858,Male,79.0
338,2016,Kentucky,Cigarette Use (Adults),Every Day,77.2,73.1,81.3,1161,Female,79.0
339,2016,Kentucky,Cigarette Use (Adults),Some Days,23.5,20.6,26.4,2019,Overall,79.0
340,2016,Kentucky,Cigarette Use (Adults),Some Days,24.3,20.3,28.3,858,Male,79.0
341,2016,Kentucky,Cigarette Use (Adults),Some Days,22.8,18.7,26.9,1161,Female,79.0
342,2018,Louisiana,Cigarette Use (Adults),Every Day,66.3,62.3,70.3,937,Overall,69.0
343,2018,Louisiana,Cigarette Use (Adults),Every Day,63.9,58.2,69.6,460,Male,69.0
344,2018,Louisiana,Cigarette Use (Adults),Every Day,69.1,63.4,74.8,477,Female,69.0
345,2018,Louisiana,Cigarette Use (Adults),Some Days,33.7,29.7,37.7,937,Overall,69.0
346,2018,Louisiana,Cigarette Use (Adults),Some Days,36.1,30.4,41.8,460,Male,69.0
347,2018,Louisiana,Cigarette Use (Adults),Some Days,30.9,25.2,36.6,477,Female,69.0
348,2017,Louisiana,Cigarette Use (Adults),Every Day,65.3,61.2,69.4,904,Overall,69.0
349,2017,Louisiana,Cigarette Use (Adults),Every Day,64.9,58.9,70.9,425,Male,69.0
350,2017,Louisiana,Cigarette Use (Adults),Every Day,65.7,60.1,71.3,479,Female,69.0
351,2017,Louisiana,Cigarette Use (Adults),Some Days,34.7,30.6,38.8,904,Overall,69.0
352,2017,Louisiana,Cigarette Use (Adults),Some Days,35.1,29.1,41.1,425,Male,69.0
353,2017,Louisiana,Cigarette Use (Adults),Some Days,34.3,28.7,39.9,479,Female,69.0
354,2016,Louisiana,Cigarette Use (Adults),Every Day,66.5,61.5,71.5,883,Overall,69.0
355,2016,Louisiana,Cigarette Use (Adults),Every Day,63.0,55.8,70.2,374,Male,69.0
356,2016,Louisiana,Cigarette Use (Adults),Every Day,70.5,64.0,77.0,509,Female,69.0
357,2016,Louisiana,Cigarette Use (Adults),Some Days,33.5,28.5,38.5,883,Overall,69.0
358,2016,Louisiana,Cigarette Use (Adults),Some Days,37.0,29.8,44.2,374,Male,69.0
359,2016,Louisiana,Cigarette Use (Adults),Some Days,29.5,23.0,36.0,509,Female,69.0
360,2018,Maine,Cigarette Use (Adults),Every Day,77.8,74.6,81.0,1532,Overall,87.3
361,2018,Maine,Cigarette Use (Adults),Every Day,79.4,75.1,83.7,730,Male,87.3
362,2018,Maine,Cigarette Use (Adults),Every Day,75.9,71.0,80.8,802,Female,87.3
363,2018,Maine,Cigarette Use (Adults),Some Days,22.2,19.0,25.4,1532,Overall,87.3
364,2018,Maine,Cigarette Use (Adults),Some Days,20.6,16.3,24.9,730,Male,87.3
365,2018,Maine,Cigarette Use (Adults),Some Days,24.1,19.2,29.0,802,Female,87.3
366,2017,Maine,Cigarette Use (Adults),Every Day,76.4,72.7,80.1,1351,Overall,87.3
367,2017,Maine,Cigarette Use (Adults),Every Day,74.6,69.0,80.2,668,Male,87.3
368,2017,Maine,Cigarette Use (Adults),Every Day,78.8,74.3,83.3,683,Female,87.3
369,2017,Maine,Cigarette Use (Adults),Some Days,23.6,19.9,27.3,1351,Overall,87.3
370,2017,Maine,Cigarette Use (Adults),Some Days,25.4,19.8,31.0,668,Male,87.3
371,2017,Maine,Cigarette Use (Adults),Some Days,21.2,16.7,25.7,683,Female,87.3
372,2016,Maine,Cigarette Use (Adults),Every Day,77.4,74.2,80.6,1527,Overall,87.3
373,2016,Maine,Cigarette Use (Adults),Every Day,78.6,74.4,82.8,713,Male,87.3
374,2016,Maine,Cigarette Use (Adults),Every Day,76.1,71.2,81.0,814,Female,87.3
375,2016,Maine,Cigarette Use (Adults),Some Days,22.6,19.4,25.8,1527,Overall,87.3
376,2016,Maine,Cigarette Use (Adults),Some Days,21.4,17.2,25.6,713,Male,87.3
377,2016,Maine,Cigarette Use (Adults),Some Days,23.9,19.0,28.8,814,Female,87.3
378,2018,Maryland,Cigarette Use (Adults),Every Day,67.1,63.8,70.4,1869,Overall,83.0
379,2018,Maryland,Cigarette Use (Adults),Every Day,64.7,59.7,69.7,839,Male,83.0
380,2018,Maryland,Cigarette Use (Adults),Every Day,69.8,65.5,74.1,1030,Female,83.0
381,2018,Maryland,Cigarette Use (Adults),Some Days,32.9,29.6,36.2,1869,Overall,83.0
382,2018,Maryland,Cigarette Use (Adults),Some Days,35.3,30.3,40.3,839,Male,83.0
383,2018,Maryland,Cigarette Use (Adults),Some Days,30.2,25.9,34.5,1030,Female,83.0
384,2017,Maryland,Cigarette Use (Adults),Every Day,67.2,63.4,71.0,1513,Overall,83.0
385,2017,Maryland,Cigarette Use (Adults),Every Day,68.6,63.4,73.8,663,Male,83.0
386,2017,Maryland,Cigarette Use (Adults),Every Day,65.5,60.2,70.8,850,Female,83.0
387,2017,Maryland,Cigarette Use (Adults),Some Days,32.8,29.0,36.6,1513,Overall,83.0
388,2017,Maryland,Cigarette Use (Adults),Some Days,31.4,26.2,36.6,663,Male,83.0
389,2017,Maryland,Cigarette Use (Adults),Some Days,34.5,29.2,39.8,850,Female,83.0
390,2016,Maryland,Cigarette Use (Adults),Every Day,68.5,65.5,71.5,2131,Overall,83.0
391,2016,Maryland,Cigarette Use (Adults),Every Day,68.1,63.7,72.5,931,Male,83.0
392,2016,Maryland,Cigarette Use (Adults),Every Day,69.0,64.9,73.1,1200,Female,83.0
393,2016,Maryland,Cigarette Use (Adults),Some Days,31.5,28.5,34.5,2131,Overall,83.0
394,2016,Maryland,Cigarette Use (Adults),Some Days,31.9,27.5,36.3,931,Male,83.0
395,2016,Maryland,Cigarette Use (Adults),Some Days,31.0,26.9,35.1,1200,Female,83.0
396,2018,Massachusetts,Cigarette Use (Adults),Every Day,69.1,64.7,73.5,751,Overall,85.8
397,2018,Massachusetts,Cigarette Use (Adults),Every Day,69.1,63.3,74.9,394,Male,85.8
398,2018,Massachusetts,Cigarette Use (Adults),Every Day,69.0,62.4,75.6,357,Female,85.8
399,2018,Massachusetts,Cigarette Use (Adults),Some Days,30.9,26.5,35.3,751,Overall,85.8
400,2018,Massachusetts,Cigarette Use (Adults),Some Days,30.9,25.1,36.7,394,Male,85.8
401,2018,Massachusetts,Cigarette Use (Adults),Some Days,31.0,24.4,37.6,357,Female,85.8
402,2017,Massachusetts,Cigarette Use (Adults),Every Day,63.1,57.7,68.5,765,Overall,85.8
403,2017,Massachusetts,Cigarette Use (Adults),Every Day,64.8,57.3,72.3,377,Male,85.8
404,2017,Massachusetts,Cigarette Use (Adults),Every Day,61.3,53.6,69.0,388,Female,85.8
405,2017,Massachusetts,Cigarette Use (Adults),Some Days,36.9,31.5,42.3,765,Overall,85.8
406,2017,Massachusetts,Cigarette Use (Adults),Some Days,35.2,27.7,42.7,377,Male,85.8
407,2017,Massachusetts,Cigarette Use (Adults),Some Days,38.7,31.0,46.4,388,Female,85.8
408,2016,Massachusetts,Cigarette Use (Adults),Every Day,70.6,66.8,74.4,1048,Overall,85.8
409,2016,Massachusetts,Cigarette Use (Adults),Every Day,70.2,65.1,75.3,548,Male,85.8
410,2016,Massachusetts,Cigarette Use (Adults),Every Day,71.2,65.6,76.8,500,Female,85.8
411,2016,Massachusetts,Cigarette Use (Adults),Some Days,29.4,25.6,33.2,1048,Overall,85.8
412,2016,Massachusetts,Cigarette Use (Adults),Some Days,29.8,24.7,34.9,548,Male,85.8
413,2016,Massachusetts,Cigarette Use (Adults),Some Days,28.8,23.2,34.4,500,Female,85.8
414,2018,Michigan,Cigarette Use (Adults),Every Day,71.1,68.3,73.9,1662,Overall,86.2
415,2018,Michigan,Cigarette Use (Adults),Every Day,71.5,67.7,75.3,878,Male,86.2
416,2018,Michigan,Cigarette Use (Adults),Every Day,70.7,66.6,74.8,784,Female,86.2
417,2018,Michigan,Cigarette Use (Adults),Some Days,28.9,26.1,31.7,1662,Overall,86.2
418,2018,Michigan,Cigarette Use (Adults),Some Days,28.5,24.7,32.3,878,Male,86.2
419,2018,Michigan,Cigarette Use (Adults),Some Days,29.3,25.2,33.4,784,Female,86.2
420,2017,Michigan,Cigarette Use (Adults),Every Day,70.3,67.6,73.0,1652,Overall,86.2
421,2017,Michigan,Cigarette Use (Adults),Every Day,71.8,68.1,75.5,814,Male,86.2
422,2017,Michigan,Cigarette Use (Adults),Every Day,68.5,64.5,72.5,838,Female,86.2
423,2017,Michigan,Cigarette Use (Adults),Some Days,29.7,27.0,32.4,1652,Overall,86.2
424,2017,Michigan,Cigarette Use (Adults),Some Days,28.2,24.5,31.9,814,Male,86.2
425,2017,Michigan,Cigarette Use (Adults),Some Days,31.5,27.5,35.5,838,Female,86.2
426,2016,Michigan,Cigarette Use (Adults),Every Day,70.2,67.6,72.8,1979,Overall,86.2
427,2016,Michigan,Cigarette Use (Adults),Every Day,72.0,68.3,75.7,932,Male,86.2
428,2016,Michigan,Cigarette Use (Adults),Every Day,68.3,64.7,71.9,1047,Female,86.2
429,2016,Michigan,Cigarette Use (Adults),Some Days,29.8,27.2,32.4,1979,Overall,86.2
430,2016,Michigan,Cigarette Use (Adults),Some Days,28.0,24.3,31.7,932,Male,86.2
431,2016,Michigan,Cigarette Use (Adults),Some Days,31.7,28.1,35.3,1047,Female,86.2
432,2018,Minnesota,Cigarette Use (Adults),Every Day,69.9,67.6,72.2,2311,Overall,86.1
433,2018,Minnesota,Cigarette Use (Adults),Every Day,71.8,68.8,74.8,1242,Male,86.1
434,2018,Minnesota,Cigarette Use (Adults),Every Day,67.5,63.9,71.1,1069,Female,86.1
435,2018,Minnesota,Cigarette Use (Adults),Some Days,30.1,27.8,32.4,2311,Overall,86.1
436,2018,Minnesota,Cigarette Use (Adults),Some Days,28.2,25.2,31.2,1242,Male,86.1
437,2018,Minnesota,Cigarette Use (Adults),Some Days,32.5,28.9,36.1,1069,Female,86.1
438,2017,Minnesota,Cigarette Use (Adults),Every Day,68.2,65.6,70.8,2220,Overall,86.1
439,2017,Minnesota,Cigarette Use (Adults),Every Day,66.6,63.0,70.2,1188,Male,86.1
440,2017,Minnesota,Cigarette Use (Adults),Every Day,70.0,66.3,73.7,1032,Female,86.1
441,2017,Minnesota,Cigarette Use (Adults),Some Days,31.8,29.2,34.4,2220,Overall,86.1
442,2017,Minnesota,Cigarette Use (Adults),Some Days,33.4,29.8,37.0,1188,Male,86.1
443,2017,Minnesota,Cigarette Use (Adults),Some Days,30.0,26.3,33.7,1032,Female,86.1
444,2016,Minnesota,Cigarette Use (Adults),Every Day,69.4,67.1,71.7,2214,Overall,86.1
445,2016,Minnesota,Cigarette Use (Adults),Every Day,67.3,64.0,70.6,1152,Male,86.1
446,2016,Minnesota,Cigarette Use (Adults),Every Day,71.8,68.5,75.1,1062,Female,86.1
447,2016,Minnesota,Cigarette Use (Adults),Some Days,30.6,28.3,32.9,2214,Overall,86.1
448,2016,Minnesota,Cigarette Use (Adults),Some Days,32.7,29.4,36.0,1152,Male,86.1
449,2016,Minnesota,Cigarette Use (Adults),Some Days,28.2,24.9,31.5,1062,Female,86.1
450,2018,Mississippi,Cigarette Use (Adults),Every Day,72.8,69.4,76.2,1076,Overall,68.1
451,2018,Mississippi,Cigarette Use (Adults),Every Day,74.5,69.8,79.2,505,Male,68.1
452,2018,Mississippi,Cigarette Use (Adults),Every Day,70.7,65.9,75.5,571,Female,68.1
453,2018,Mississippi,Cigarette Use (Adults),Some Days,27.2,23.8,30.6,1076,Overall,68.1
454,2018,Mississippi,Cigarette Use (Adults),Some Days,25.5,20.8,30.2,505,Male,68.1
455,2018,Mississippi,Cigarette Use (Adults),Some Days,29.3,24.5,34.1,571,Female,68.1
456,2017,Mississippi,Cigarette Use (Adults),Every Day,73.8,69.6,78.0,834,Overall,68.1
457,2017,Mississippi,Cigarette Use (Adults),Every Day,76.3,70.8,81.8,355,Male,68.1
458,2017,Mississippi,Cigarette Use (Adults),Every Day,71.4,65.3,77.5,479,Female,68.1
459,2017,Mississippi,Cigarette Use (Adults),Some Days,26.2,22.0,30.4,834,Overall,68.1
460,2017,Mississippi,Cigarette Use (Adults),Some Days,23.7,18.2,29.2,355,Male,68.1
461,2017,Mississippi,Cigarette Use (Adults),Some Days,28.6,22.5,34.7,479,Female,68.1
462,2016,Mississippi,Cigarette Use (Adults),Every Day,73.1,69.2,77.0,904,Overall,68.1
463,2016,Mississippi,Cigarette Use (Adults),Every Day,70.1,64.3,75.9,417,Male,68.1
464,2016,Mississippi,Cigarette Use (Adults),Every Day,76.2,71.1,81.3,487,Female,68.1
465,2016,Mississippi,Cigarette Use (Adults),Some Days,26.9,23.0,30.8,904,Overall,68.1
466,2016,Mississippi,Cigarette Use (Adults),Some Days,29.9,24.1,35.7,417,Male,68.1
467,2016,Mississippi,Cigarette Use (Adults),Some Days,23.8,18.7,28.9,487,Female,68.1
468,2018,Missouri,Cigarette Use (Adults),Every Day,74.1,70.4,77.8,1015,Overall,78.6
469,2018,Missouri,Cigarette Use (Adults),Every Day,72.8,67.4,78.2,464,Male,78.6
470,2018,Missouri,Cigarette Use (Adults),Every Day,75.5,70.4,80.6,551,Female,78.6
471,2018,Missouri,Cigarette Use (Adults),Some Days,25.9,22.2,29.6,1015,Overall,78.6
472,2018,Missouri,Cigarette Use (Adults),Some Days,27.2,21.8,32.6,464,Male,78.6
473,2018,Missouri,Cigarette Use (Adults),Some Days,24.5,19.4,29.6,551,Female,78.6
474,2017,Missouri,Cigarette Use (Adults),Every Day,77.9,74.8,81.0,1311,Overall,78.6
475,2017,Missouri,Cigarette Use (Adults),Every Day,78.2,73.9,82.5,616,Male,78.6
476,2017,Missouri,Cigarette Use (Adults),Every Day,77.6,73.2,82.0,695,Female,78.6
477,2017,Missouri,Cigarette Use (Adults),Some Days,22.1,19.0,25.2,1311,Overall,78.6
478,2017,Missouri,Cigarette Use (Adults),Some Days,21.8,17.5,26.1,616,Male,78.6
479,2017,Missouri,Cigarette Use (Adults),Some Days,22.4,18.0,26.8,695,Female,78.6
480,2016,Missouri,Cigarette Use (Adults),Every Day,78.6,75.3,81.9,1284,Overall,78.6
481,2016,Missouri,Cigarette Use (Adults),Every Day,78.6,73.9,83.3,610,Male,78.6
482,2016,Missouri,Cigarette Use (Adults),Every Day,78.7,74.0,83.4,674,Female,78.6
483,2016,Missouri,Cigarette Use (Adults),Some Days,21.4,18.1,24.7,1284,Overall,78.6
484,2016,Missouri,Cigarette Use (Adults),Some Days,21.4,16.7,26.1,610,Male,78.6
485,2016,Missouri,Cigarette Use (Adults),Some Days,21.3,16.6,26.0,674,Female,78.6
486,2018,Montana,Cigarette Use (Adults),Every Day,72.5,68.6,76.4,861,Overall,90.0
487,2018,Montana,Cigarette Use (Adults),Every Day,74.3,68.9,79.7,400,Male,90.0
488,2018,Montana,Cigarette Use (Adults),Every Day,70.5,64.8,76.2,461,Female,90.0
489,2018,Montana,Cigarette Use (Adults),Some Days,27.5,23.6,31.4,861,Overall,90.0
490,2018,Montana,Cigarette Use (Adults),Some Days,25.7,20.3,31.1,400,Male,90.0
491,2018,Montana,Cigarette Use (Adults),Some Days,29.5,23.8,35.2,461,Female,90.0
492,2017,Montana,Cigarette Use (Adults),Every Day,70.8,66.7,74.9,952,Overall,90.0
493,2017,Montana,Cigarette Use (Adults),Every Day,68.0,62.1,73.9,439,Male,90.0
494,2017,Montana,Cigarette Use (Adults),Every Day,73.7,68.2,79.2,513,Female,90.0
495,2017,Montana,Cigarette Use (Adults),Some Days,29.2,25.1,33.3,952,Overall,90.0
496,2017,Montana,Cigarette Use (Adults),Some Days,32.0,26.1,37.9,439,Male,90.0
497,2017,Montana,Cigarette Use (Adults),Some Days,26.3,20.8,31.8,513,Female,90.0
498,2016,Montana,Cigarette Use (Adults),Every Day,71.3,67.2,75.4,950,Overall,90.0
499,2016,Montana,Cigarette Use (Adults),Every Day,71.2,65.5,76.9,451,Male,90.0
500,2016,Montana,Cigarette Use (Adults),Every Day,71.4,65.3,77.5,499,Female,90.0
501,2016,Montana,Cigarette Use (Adults),Some Days,28.7,24.6,32.8,950,Overall,90.0
502,2016,Montana,Cigarette Use (Adults),Some Days,28.8,23.1,34.5,451,Male,90.0
503,2016,Montana,Cigarette Use (Adults),Some Days,28.6,22.5,34.7,499,Female,90.0
504,2018,Nebraska,Cigarette Use (Adults),Every Day,70.8,67.8,73.8,1916,Overall,79.4
505,2018,Nebraska,Cigarette Use (Adults),Every Day,73.4,69.4,77.4,967,Male,79.4
506,2018,Nebraska,Cigarette Use (Adults),Every Day,67.8,63.3,72.3,949,Female,79.4
507,2018,Nebraska,Cigarette Use (Adults),Some Days,29.2,26.2,32.2,1916,Overall,79.4
508,2018,Nebraska,Cigarette Use (Adults),Some Days,26.6,22.6,30.6,967,Male,79.4
509,2018,Nebraska,Cigarette Use (Adults),Some Days,32.2,27.7,36.7,949,Female,79.4
510,2017,Nebraska,Cigarette Use (Adults),Every Day,72.1,69.1,75.1,2056,Overall,79.4
511,2017,Nebraska,Cigarette Use (Adults),Every Day,72.1,67.8,76.4,981,Male,79.4
512,2017,Nebraska,Cigarette Use (Adults),Every Day,71.9,67.6,76.2,1075,Female,79.4
513,2017,Nebraska,Cigarette Use (Adults),Some Days,27.9,24.9,30.9,2056,Overall,79.4
514,2017,Nebraska,Cigarette Use (Adults),Some Days,27.9,23.6,32.2,981,Male,79.4
515,2017,Nebraska,Cigarette Use (Adults),Some Days,28.1,23.8,32.4,1075,Female,79.4
516,2016,Nebraska,Cigarette Use (Adults),Every Day,71.2,68.1,74.3,2191,Overall,79.4
517,2016,Nebraska,Cigarette Use (Adults),Every Day,71.9,67.4,76.4,1056,Male,79.4
518,2016,Nebraska,Cigarette Use (Adults),Every Day,70.3,65.9,74.7,1135,Female,79.4
519,2016,Nebraska,Cigarette Use (Adults),Some Days,28.8,25.7,31.9,2191,Overall,79.4
520,2016,Nebraska,Cigarette Use (Adults),Some Days,28.1,23.6,32.6,1056,Male,79.4
521,2016,Nebraska,Cigarette Use (Adults),Some Days,29.7,25.3,34.1,1135,Female,79.4
522,2018,Nevada,Cigarette Use (Adults),Every Day,66.8,60.6,73.0,482,Overall,62.6
523,2018,Nevada,Cigarette Use (Adults),Every Day,64.4,55.6,73.2,251,Male,62.6
524,2018,Nevada,Cigarette Use (Adults),Every Day,69.9,61.4,78.4,231,Female,62.6
525,2018,Nevada,Cigarette Use (Adults),Some Days,33.2,27.0,39.4,482,Overall,62.6
526,2018,Nevada,Cigarette Use (Adults),Some Days,35.6,26.8,44.4,251,Male,62.6
527,2018,Nevada,Cigarette Use (Adults),Some Days,30.1,21.6,38.6,231,Female,62.6
528,2017,Nevada,Cigarette Use (Adults),Every Day,63.3,57.2,69.4,566,Overall,62.6
529,2017,Nevada,Cigarette Use (Adults),Every Day,65.5,56.9,74.1,271,Male,62.6
530,2017,Nevada,Cigarette Use (Adults),Every Day,60.4,51.9,68.9,295,Female,62.6
531,2017,Nevada,Cigarette Use (Adults),Some Days,36.7,30.6,42.8,566,Overall,62.6
532,2017,Nevada,Cigarette Use (Adults),Some Days,34.5,25.9,43.1,271,Male,62.6
533,2017,Nevada,Cigarette Use (Adults),Some Days,39.6,31.1,48.1,295,Female,62.6
534,2016,Nevada,Cigarette Use (Adults),Every Day,65.4,60.1,70.7,641,Overall,62.6
535,2016,Nevada,Cigarette Use (Adults),Every Day,64.6,57.0,72.2,325,Male,62.6
536,2016,Nevada,Cigarette Use (Adults),Every Day,66.4,59.1,73.7,316,Female,62.6
537,2016,Nevada,Cigarette Use (Adults),Some Days,34.6,29.3,39.9,641,Overall,62.6
538,2016,Nevada,Cigarette Use (Adults),Some Days,35.4,27.8,43.0,325,Male,62.6
539,2016,Nevada,Cigarette Use (Adults),Some Days,33.6,26.3,40.9,316,Female,62.6
540,2018,New Hampshire,Cigarette Use (Adults),Every Day,70.1,65.3,74.9,677,Overall,78.3
541,2018,New Hampshire,Cigarette Use (Adults),Every Day,65.8,58.7,72.9,311,Male,78.3
542,2018,New Hampshire,Cigarette Use (Adults),Every Day,74.3,67.9,80.7,366,Female,78.3
543,2018,New Hampshire,Cigarette Use (Adults),Some Days,29.9,25.1,34.7,677,Overall,78.3
544,2018,New Hampshire,Cigarette Use (Adults),Some Days,34.2,27.1,41.3,311,Male,78.3
545,2018,New Hampshire,Cigarette Use (Adults),Some Days,25.7,19.3,32.1,366,Female,78.3
546,2017,New Hampshire,Cigarette Use (Adults),Every Day,76.1,71.5,80.7,706,Overall,78.3
547,2017,New Hampshire,Cigarette Use (Adults),Every Day,77.6,71.2,84.0,295,Male,78.3
548,2017,New Hampshire,Cigarette Use (Adults),Every Day,74.4,67.8,81.0,411,Female,78.3
549,2017,New Hampshire,Cigarette Use (Adults),Some Days,23.9,19.3,28.5,706,Overall,78.3
550,2017,New Hampshire,Cigarette Use (Adults),Some Days,22.4,16.0,28.8,295,Male,78.3
551,2017,New Hampshire,Cigarette Use (Adults),Some Days,25.6,19.0,32.2,411,Female,78.3
552,2016,New Hampshire,Cigarette Use (Adults),Every Day,72.2,67.7,76.7,842,Overall,78.3
553,2016,New Hampshire,Cigarette Use (Adults),Every Day,71.0,64.5,77.5,400,Male,78.3
554,2016,New Hampshire,Cigarette Use (Adults),Every Day,73.5,67.2,79.8,442,Female,78.3
555,2016,New Hampshire,Cigarette Use (Adults),Some Days,27.8,23.3,32.3,842,Overall,78.3
556,2016,New Hampshire,Cigarette Use (Adults),Some Days,29.0,22.5,35.5,400,Male,78.3
557,2016,New Hampshire,Cigarette Use (Adults),Some Days,26.5,20.2,32.8,442,Female,78.3
558,2018,New Jersey,Cigarette Use (Adults),Every Day,67.5,59.3,75.7,370,Overall,81.0
559,2018,New Jersey,Cigarette Use (Adults),Every Day,64.4,54.1,74.7,202,Male,81.0
560,2018,New Jersey,Cigarette Use (Adults),Every Day,71.1,57.9,84.3,168,Female,81.0
561,2018,New Jersey,Cigarette Use (Adults),Some Days,32.5,24.3,40.7,370,Overall,81.0
562,2018,New Jersey,Cigarette Use (Adults),Some Days,35.6,25.3,45.9,202,Male,81.0
563,2018,New Jersey,Cigarette Use (Adults),Some Days,28.9,15.7,42.1,168,Female,81.0
564,2017,New Jersey,Cigarette Use (Adults),Every Day,60.8,56.3,65.3,1414,Overall,81.0
565,2017,New Jersey,Cigarette Use (Adults),Every Day,61.1,54.9,67.3,660,Male,81.0
566,2017,New Jersey,Cigarette Use (Adults),Every Day,60.2,53.8,66.6,754,Female,81.0
567,2017,New Jersey,Cigarette Use (Adults),Some Days,39.2,34.7,43.7,1414,Overall,81.0
568,2017,New Jersey,Cigarette Use (Adults),Some Days,38.9,32.7,45.1,660,Male,81.0
569,2017,New Jersey,Cigarette Use (Adults),Some Days,39.8,33.4,46.2,754,Female,81.0
